russisch,deutsch,transkription,wortart,niveau,beispiel
вода,das Wasser,wadá,Substantiv,A1,Я пью воду. — Ich trinke Wasser.
хлеб,das Brot,chljep,Substantiv,A1,Мы покупаем хлеб. — Wir kaufen Brot.
дом,das Haus,dom,Substantiv,A1,Это мой дом. — Das ist mein Haus.
друг,der Freund,druk,Substantiv,A1,Он мой лучший друг. — Er ist mein bester Freund.
книга,das Buch,kníga,Substantiv,A1,Я читаю книгу. — Ich lese ein Buch.
город,die Stadt,górat,Substantiv,A1,Москва — большой город. — Moskau ist eine große Stadt.
работа,die Arbeit,rabóta,Substantiv,A1,Моя работа интересная. — Meine Arbeit ist interessant.
семья,die Familie,simjá,Substantiv,A1,У меня большая семья. — Ich habe eine große Familie.
время,die Zeit,wrjémja,Substantiv,A1,У меня нет времени. — Ich habe keine Zeit.
день,der Tag,djen,Substantiv,A1,Сегодня хороший день. — Heute ist ein schöner Tag.
ночь,die Nacht,notsch,Substantiv,A1,Спокойной ночи! — Gute Nacht!
утро,der Morgen,útra,Substantiv,A1,Утром я пью кофе. — Morgens trinke ich Kaffee.
вечер,der Abend,wjétschir,Substantiv,A1,Вечером мы дома. — Abends sind wir zu Hause.
неделя,die Woche,nidjélja,Substantiv,A1,На следующей неделе я работаю. — Nächste Woche arbeite ich.
месяц,der Monat,mjéssjats,Substantiv,A1,Он живёт здесь месяц. — Er wohnt seit einem Monat hier.
год,das Jahr,got,Substantiv,A1,Прошлый год был трудный. — Das letzte Jahr war schwer.
час,die Stunde,tschas,Substantiv,A1,Я жду уже час. — Ich warte schon eine Stunde.
минута,die Minute,minúta,Substantiv,A1,"Одну минуту, пожалуйста! — Einen Moment bitte!"
мама,"die Mama, die Mutter",máma,Substantiv,A1,Моя мама работает в школе. — Meine Mutter arbeitet in der Schule.
папа,"der Papa, der Vater",pápa,Substantiv,A1,Папа читает газету. — Papa liest die Zeitung.
брат,der Bruder,brat,Substantiv,A1,У меня есть брат. — Ich habe einen Bruder.
сестра,die Schwester,sistrá,Substantiv,A1,Моя сестра студентка. — Meine Schwester ist Studentin.
сын,der Sohn,syn,Substantiv,A1,Их сын ходит в школу. — Ihr Sohn geht zur Schule.
дочь,die Tochter,dotsch,Substantiv,A1,Её дочь очень весёлая. — Ihre Tochter ist sehr fröhlich.
жена,die Ehefrau,schyná,Substantiv,A1,Его жена врач. — Seine Frau ist Ärztin.
муж,der Ehemann,musch,Substantiv,A1,Мой муж дома. — Mein Mann ist zu Hause.
человек,der Mensch,tschilawjék,Substantiv,A1,Он хороший человек. — Er ist ein guter Mensch.
женщина,die Frau,schénschtschina,Substantiv,A1,Эта женщина — наш врач. — Diese Frau ist unsere Ärztin.
мужчина,der Mann,muschtschína,Substantiv,A1,Там стоит мужчина. — Dort steht ein Mann.
ребёнок,das Kind,ribjónak,Substantiv,A1,Ребёнок спит. — Das Kind schläft.
имя,der Vorname,ímja,Substantiv,A1,Как ваше имя? — Wie ist Ihr Vorname?
школа,die Schule,schkóla,Substantiv,A1,Дети идут в школу. — Die Kinder gehen in die Schule.
студент,der Student,studjént,Substantiv,A1,Я студент из Германии. — Ich bin Student aus Deutschland.
учитель,der Lehrer,utschítil,Substantiv,A1,Наш учитель говорит медленно. — Unser Lehrer spricht langsam.
